"IVS1_Code","IVS1_Label","ivs_iti4","IVS2_Label","N2SpTFA","NZMGE","NZMGN","NZTM.E","NZTM.N","Island","Is.Code","TFA","TFA.Code","Territorial.Authority","TLA.code","RTO","RTO.code","Region","Region.code","Longitude","Latitude","ivs_iti5","RTO_mbiemaps"
110200,"Hikurangi ( Whangarei )","ivs_iti4_110200","Hikurangi",20,2627363,6621775,1716617,6059952,"North",1,"Whangarei",11,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,174.287361276723,-35.5973062146406,"ivs_iti5_110200","Northland RTO"
110210,"Tutukaka","ivs_iti4_110210","Tutukaka",21,2648553,6619625,1737805,6057856,"North",1,"Whangarei",11,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,174.521549981456,-35.6134730538321,"ivs_iti5_110210","Northland RTO"
110340,"Whangarei","ivs_iti4_110340","Whangarei",34,2630145,6607542,1719434,6045730,"North",1,"Whangarei",11,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,174.320560936535,-35.7251679414371,"ivs_iti5_110340","Northland RTO"
110360,"Titoki","ivs_iti4_110360","Titoki",36,2606453,6606868,1695752,6044998,"North",1,"Whangarei",11,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,174.058845540471,-35.734355406942,"ivs_iti5_110360","Northland RTO"
120010,"One Tree Point","ivs_iti4_120010","One Tree Point",1,2642094,6596900,1731405,6035121,"North",1,"Waipu",12,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,174.454626477336,-35.8192657012584,"ivs_iti5_120010","Northland RTO"
120060,"Ruakaka","ivs_iti4_120060","Ruakaka",6,2641897,6587073,1731232,6025297,"North",1,"Waipu",12,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,174.45432902348,-35.9078349288013,"ivs_iti5_120060","Northland RTO"
120080,"Waipu","ivs_iti4_120080","Waipu",8,2640917,6578499,1730273,6016723,"North",1,"Waipu",12,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,174.44511105532,-35.9852419221872,"ivs_iti5_120080","Northland RTO"
130050,"Kaihu","ivs_iti4_130050","Kaihu",5,2573940,6603227,1663264,6041278,"North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,173.699910262837,-35.7705188078157,"ivs_iti5_130050","Northland RTO"
130130,"Dargaville","ivs_iti4_130130","Dargaville",13,2589082,6584656,1678443,6022753,"North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,173.869646795876,-35.9364295933627,"ivs_iti5_130130","Northland RTO"
130140,"Baylys Beach","ivs_iti4_130140","Baylys Beach",14,2576998,6583700,1666576,6021873,"North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,173.738169497773,-35.9452440215712,"ivs_iti5_130140","Northland RTO"
130250,"Maungaturoto","ivs_iti4_130250","Maungaturoto",25,2632175,6564730,1721566,6002938,"North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,174.350670917567,-36.110615552372,"ivs_iti5_130250","Northland RTO"
130260,"Mangawhai","ivs_iti4_130260","Mangawhai",26,2651430,6562738,1740821,6000991,"North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,174.564886801585,-36.1255602844101,"ivs_iti5_130260","Northland RTO"
130270,"Matakohe","ivs_iti4_130270","Matakohe",27,2616113,6562723,1705515,6000894,"North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,174.172644868419,-36.1309175824769,"ivs_iti5_130270","Northland RTO"
130280,"Ruawai","ivs_iti4_130280","Ruawai",28,2602524,6562271,1691932,6000410,"North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,174.021769463679,-36.1366631626806,"ivs_iti5_130280","Northland RTO"
130310,"Kaiwaka","ivs_iti4_130310","Kaiwaka",31,2640431,6559047,1729833,5997276,"North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,174.443431331375,-36.1605758649208,"ivs_iti5_130310","Northland RTO"
130350,"Tinopai","ivs_iti4_130350","Tinopai",35,2622839,6548777,1712270,5986968,"North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,174.249694486712,-36.2556812711615,"ivs_iti5_130350","Northland RTO"
140080,"Wellsford","ivs_iti4_140080","Wellsford",8,2647462,6544153,1736897,5982402,"North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.524541824511,-36.2936540845085,"ivs_iti5_140080","Auckland RTO"
140090,"Leigh","ivs_iti4_140090","Leigh",9,2672573,6543809,1762004,5982115,"North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.804088009394,-36.292349116579,"ivs_iti5_140090","Auckland RTO"
140160,"Matakana","ivs_iti4_140160","Matakana",16,2664043,6537311,1753490,5975599,"North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.71059775945,-36.352460405738,"ivs_iti5_140160","Auckland RTO"
140210,"Tawharanui","ivs_iti4_140210","Tawharanui",21,2670659,6534045,1760112,5972348,"North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.785035437459,-36.3806760788519,"ivs_iti5_140210","Auckland RTO"
140240,"Warkworth","ivs_iti4_140240","Warkworth",24,2659840,6532019,1749299,5970298,"North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.664926501541,-36.4008901274087,"ivs_iti5_140240","Auckland RTO"
140250,"Kaipara Flats","ivs_iti4_140250","Kaipara Flats",25,2648449,6531686,1737911,5969939,"North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.538038604021,-36.4058281850276,"ivs_iti5_140250","Auckland RTO"
140270,"Snells Beach","ivs_iti4_140270","Snells Beach",27,2665597,6530158,1755060,5968450,"North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.729514255719,-36.4166300949288,"ivs_iti5_140270","Auckland RTO"
140280,"Kawau Island","ivs_iti4_140280","Kawau Island",28,2677942,6529724,1767404,5968044,"North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.867221222405,-36.4182152017919,"ivs_iti5_140280","Auckland RTO"
140350,"Puhoi","ivs_iti4_140350","Puhoi",35,2659378,6519708,1748865,5957988,"North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.662455121084,-36.5118885021294,"ivs_iti5_140350","Auckland RTO"
150020,"Shelly Beach","ivs_iti4_150020","Shelly Beach",2,2633696,6513692,1723201,5951918,"North",1,"Helensville",15,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.376903990675,-36.5702442564149,"ivs_iti5_150020","Auckland RTO"
150060,"Helensville","ivs_iti4_150060","Helensville",6,2640242,6501516,1729771,5939759,"North",1,"Helensville",15,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.452364815132,-36.6789518274927,"ivs_iti5_150060","Auckland RTO"
150120,"Waimauku","ivs_iti4_150120","Waimauku",12,2643568,6491805,1733116,5930057,"North",1,"Helensville",15,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.491479836516,-36.7659218225933,"ivs_iti5_150120","Auckland RTO"
150140,"Kumeu","ivs_iti4_150140","Kumeu",14,2649606,6490546,1739156,5928810,"North",1,"Helensville",15,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.559359544798,-36.7762915765235,"ivs_iti5_150140","Auckland RTO"
150160,"Muriwai Beach","ivs_iti4_150160","Muriwai Beach",16,2636770,6484881,1727598,5923305,"North",1,"Helensville",15,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.430803536586,-36.8275292372128,"ivs_iti5_150160","Auckland RTO"
160010,"Waiwera","ivs_iti4_160010","Waiwera",1,2663365,6515860,1752859,5954149,"North",1,"Orewa",16,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.70780112163,-36.5458523854372,"ivs_iti5_160010","Auckland RTO"
160030,"Orewa","ivs_iti4_160030","Orewa",3,2661643,6511682,1751147,5949968,"North",1,"Orewa",16,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,174.689502030702,-36.5838004180552,"ivs_iti5_160030","Auckland RTO"
170500,"Auckland","ivs_iti4_170500","Auckland",50,2667979,6478251,1757551,5916554,"North",1,"Auckland",17,"Auckland City",7,"Auckland RTO",2,"Auckland Region",2,174.76794714385,-36.8838429620007,"ivs_iti5_170500","Auckland RTO"
170860,"Piha","ivs_iti4_170860","Piha",86,2641356,6470844,1730947,5909096,"North",1,"Auckland",17,"Waitakere City",6,"Auckland RTO",2,"Auckland Region",2,174.470801100323,-36.9551175957768,"ivs_iti5_170860","Auckland RTO"
170870,"Kawakawa Bay","ivs_iti4_170870","Kawakawa Bay",87,2702296,6470285,1791911,5907867,"North",1,"Auckland",17,"Manukau City",8,"Auckland RTO",2,"Auckland Region",2,175.155492273113,-36.9557370435242,"ivs_iti5_170870","Auckland RTO"
171000,"Huia","ivs_iti4_171000","Huia",100,2649478,6465881,1739077,5904149,"North",1,"Auckland",17,"Waitakere City",6,"Auckland RTO",2,"Auckland Region",2,174.562999190176,-36.9985295509119,"ivs_iti5_171000","Auckland RTO"
171020,"Clevedon","ivs_iti4_171020","Clevedon",102,2691804,6465512,1781401,5903863,"North",1,"Auckland",17,"Manukau City",8,"Auckland RTO",2,"Auckland Region",2,175.038478917055,-36.9938918414425,"ivs_iti5_171020","Auckland RTO"
180100,"Rakino Island","ivs_iti4_180100","Rakino Island",10,2684461,6496297,1773995,5934633,"North",1,"Oneroa",18,"Auckland City",7,"Auckland RTO",2,"Auckland Region",2,174.948248099253,-36.7180723269176,"ivs_iti5_180100","Auckland RTO"
180230,"Waiheke Island","ivs_iti4_180230","Waiheke Island",23,2695741,6485753,1785298,5924113,"North",1,"Oneroa",18,"Auckland City",7,"Auckland RTO",2,"Auckland Region",2,175.07729210527,-36.8107072287392,"ivs_iti5_180230","Auckland RTO"
190260,"Bombay","ivs_iti4_190260","Bombay",26,2686543,6444096,1776181,5882436,"North",1,"Pukekohe",19,"Franklin District",10,"Auckland RTO",2,"Auckland Region",2,174.984881903101,-37.1879178394162,"ivs_iti5_190260","Auckland RTO"
190280,"Pukekohe","ivs_iti4_190280","Pukekohe",28,2679162,6442583,1768803,5880909,"North",1,"Pukekohe",19,"Franklin District",10,"Auckland RTO",2,"Auckland Region",2,174.902148146263,-37.2030380174097,"ivs_iti5_190280","Auckland RTO"
190320,"Waiuku","ivs_iti4_190320","Waiuku",32,2664011,6437927,1753660,5876225,"North",1,"Pukekohe",19,"Franklin District",10,"Auckland RTO",2,"Auckland Region",2,174.732550091263,-37.2478574682573,"ivs_iti5_190320","Auckland RTO"
190350,"Tuakau","ivs_iti4_190350","Tuakau",35,2682981,6436113,1772634,5874446,"North",1,"Pukekohe",19,"Franklin District",10,"Auckland RTO",2,"Waikato Region",3,174.946792097087,-37.2605613856007,"ivs_iti5_190350","Auckland RTO"
190420,"Port Waikato","ivs_iti4_190420","Port Waikato",42,2663562,6422642,1753238,5860940,"North",1,"Pukekohe",19,"Franklin District",10,"Auckland RTO",2,"Waikato Region",3,174.730949920413,-37.3856422350237,"ivs_iti5_190420","Auckland RTO"
200030,"Port Jackson","ivs_iti4_200030","Port Jackson",3,2720038,6521269,1809519,5959684,"North",1,"Coromandel",20,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.338914356322,-36.4852533454371,"ivs_iti5_200030","Coromandel RTO"
200040,"Port Charles","ivs_iti4_200040","Port Charles",4,2731021,6517441,1820639,5954583,"North",1,"Coromandel",20,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.464405375129,-36.5287000552636,"ivs_iti5_200040","Coromandel RTO"
200050,"Waikawau","ivs_iti4_200050","Waikawau",5,2735622,6508566,1825134,5947015,"North",1,"Coromandel",20,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.516779822973,-36.595812676436,"ivs_iti5_200050","Coromandel RTO"
200080,"Colville","ivs_iti4_200080","Colville",8,2731928,6504370,1821449,5942810,"North",1,"Coromandel",20,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.476831987188,-36.6345478895472,"ivs_iti5_200080","Coromandel RTO"
200120,"Kennedy Bay","ivs_iti4_200120","Kennedy Bay",12,2739815,6499561,1827720,5937864,"North",1,"Coromandel",20,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.548377609957,-36.6776132508671,"ivs_iti5_200120","Coromandel RTO"
200140,"Coromandel","ivs_iti4_200140","Coromandel",14,2733884,6491029,1823434,5929470,"North",1,"Coromandel",20,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.502908261249,-36.7542282013511,"ivs_iti5_200140","Coromandel RTO"
210120,"Kuaotunu","ivs_iti4_210120","Kuaotunu",12,2754245,6494136,1843794,5932623,"North",1,"Whitianga",21,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.729749713663,-36.7208226939951,"ivs_iti5_210120","Coromandel RTO"
210130,"Matarangi Beach","ivs_iti4_210130","Matarangi Beach",13,2747681,6493471,1837229,5931943,"North",1,"Whitianga",21,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.656525407327,-36.7286088415267,"ivs_iti5_210130","Coromandel RTO"
210160,"Whitianga ( Whitianga )","ivs_iti4_210160","Whitianga (Whitianga)",16,2750514,6481642,1840089,5920116,"North",1,"Whitianga",21,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.692245506937,-36.8343896715216,"ivs_iti5_210160","Coromandel RTO"
210180,"Hahei","ivs_iti4_210180","Hahei",18,2759945,6480563,1849526,5919057,"North",1,"Whitianga",21,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.79830279013,-36.8414822988414,"ivs_iti5_210180","Coromandel RTO"
210190,"Hot Water Beach","ivs_iti4_210190","Hot Water Beach",19,2762172,6475212,1851765,5913709,"North",1,"Whitianga",21,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.825158062574,-36.8890403676115,"ivs_iti5_210190","Coromandel RTO"
220020,"Tairua","ivs_iti4_220020","Tairua",2,2763888,6462251,1853509,5900746,"North",1,"Tairua",22,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.84905274787,-37.0052841078147,"ivs_iti5_220020","Coromandel RTO"
220030,"Pauanui","ivs_iti4_220030","Pauanui",3,2764919,6461351,1854542,5899848,"North",1,"Tairua",22,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.860952190076,-37.0130897886437,"ivs_iti5_220030","Coromandel RTO"
230110,"Coromandel Forest Park","ivs_iti4_230110","Coromandel Forest Park",11,2750054,6447039,1839700,5885500,"North",1,"Coromandel Forest Park",23,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.698886297563,-37.1461866908929,"ivs_iti5_230110","Coromandel RTO"
240010,"Te Puru","ivs_iti4_240010","Te Puru",1,2734351,6458580,1823969,5897014,"North",1,"Thames",24,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.518489374548,-37.0463969764154,"ivs_iti5_240010","Coromandel RTO"
240050,"Thames","ivs_iti4_240050","Thames",5,2736439,6448104,1826078,5886539,"North",1,"Thames",24,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.545338684947,-37.1402226905034,"ivs_iti5_240050","Coromandel RTO"
250020,"Opoutere","ivs_iti4_250020","Opoutere",2,2764846,6450484,1854491,5888976,"North",1,"Whangamata",25,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.864059869344,-37.1109848603451,"ivs_iti5_250020","Coromandel RTO"
250040,"Whangamata","ivs_iti4_250040","Whangamata",4,2765174,6438947,1854842,5877434,"North",1,"Whangamata",25,"Thames-Coromandel District",11,"Coromandel RTO",3,"Waikato Region",3,175.871937491846,-37.2148002408684,"ivs_iti5_250040","Coromandel RTO"
260010,"Pipiroa","ivs_iti4_260010","Pipiroa",1,2730617,6439706,1820271,5878128,"North",1,"Paeroa",26,"Hauraki District",12,"Coromandel RTO",3,"Waikato Region",3,175.482495114368,-37.2173550652044,"ivs_iti5_260010","Coromandel RTO"
260040,"Ngatea","ivs_iti4_260040","Ngatea",4,2731480,6433396,1821146,5871817,"North",1,"Paeroa",26,"Hauraki District",12,"Coromandel RTO",3,"Waikato Region",3,175.494221573217,-37.2739817260156,"ivs_iti5_260040","Coromandel RTO"
