"IVS1_Code","IVS1_Label","ivs_iti4","IVS2_Label","Location","N2SpTFA","NZMGE","NZMGN","NZTM.E","NZTM.N","Island","Is.Code","TFA","TFA.Code","Territorial.Authority","TLA.code","RTO","RTO.code","Region","Region.code","DTS.Frequency..I.","DTS.Frequency..II.","ivs_iti5","RTO_mbiemaps"
60250,"Opononi","ivs_iti4_60250","Opononi","Opononi",25,"2546466","6632727","1635731","6070691","North",1,"Opononi",6,"Far North District",1,"Northland RTO",1,"Northland Region",1,83,66,"ivs_iti5_60250","Northland RTO"
60270,"Omapere","ivs_iti4_60270","Omapere","Omapere",27,"2546022","6629703","1635295","6067668","North",1,"Opononi",6,"Far North District",1,"Northland RTO",1,"Northland Region",1,25,23,"ivs_iti5_60270","Northland RTO"
70010,"Urupukapuka Island","ivs_iti4_70010","Urupukapuka Island","Urupukapuka Island",1,"2622962","6664620","1712107","6102770","North",1,"Paihia",7,"Far North District",1,"Northland RTO",1,"Northland Region",1,7,7,"ivs_iti5_70010","Northland RTO"
70040,"Rawhiti","ivs_iti4_70040","Rawhiti","Rawhiti",4,"2625602","6662318","1714751","6100476","North",1,"Paihia",7,"Far North District",1,"Northland RTO",1,"Northland Region",1,16,16,"ivs_iti5_70040","Northland RTO"
70090,"Waitangi ( Paihia )","ivs_iti4_70090","Waitangi","Waitangi ( Paihia )",9,"2609322","6658594","1698372","6095526","North",1,"Paihia",7,"Far North District",1,"Northland RTO",1,"Northland Region",1,41,39,"ivs_iti5_70090","Northland RTO"
70110,"Haruru","ivs_iti4_70110","Haruru","Haruru",11,"2607040","6657384","1696210","6095495","North",1,"Paihia",7,"Far North District",1,"Northland RTO",1,"Northland Region",1,9,8,"ivs_iti5_70110","Northland RTO"
70140,"Paihia","ivs_iti4_70140","Paihia","Paihia",14,"2610204","6656697","1699374","6094816","North",1,"Paihia",7,"Far North District",1,"Northland RTO",1,"Northland Region",1,580,526,"ivs_iti5_70140","Northland RTO"
70170,"Opua","ivs_iti4_70170","Opua","Opua",17,"2612405","6653376","1701583","6091502","North",1,"Paihia",7,"Far North District",1,"Northland RTO",1,"Northland Region",1,39,33,"ivs_iti5_70170","Northland RTO"
80010,"Russell","ivs_iti4_80010","Russell","Russell",1,"2613042","6659335","1702204","6097461","North",1,"Russell",8,"Far North District",1,"Northland RTO",1,"Northland Region",1,261,219,"ivs_iti5_80010","Northland RTO"
90030,"Ohaeawai","ivs_iti4_90030","Ohaeawai","Ohaeawai",3,"2590728","6649512","1679925","6087583","North",1,"Kaikohe",9,"Far North District",1,"Northland RTO",1,"Northland Region",1,15,3,"ivs_iti5_90030","Northland RTO"
90050,"Kaikohe","ivs_iti4_90050","Kaikohe","Kaikohe",5,"2583114","6643395","1672331","6081449","North",1,"Kaikohe",9,"Far North District",1,"Northland RTO",1,"Northland Region",1,318,165,"ivs_iti5_90050","Northland RTO"
100030,"Waipoua Forest","ivs_iti4_100030","Waipoua Forest","Waipoua Forest",3,"2560208","6616172","1648212","6057591","North",1,"Waipoua Forest",10,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,11,11,"ivs_iti5_100030","Northland RTO"
110040,"Whangaruru","ivs_iti4_110040","Whangaruru","Whangaruru",4,"2630475","6649374","1719657","6087549","North",1,"Whangarei",11,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,25,17,"ivs_iti5_110040","Northland RTO"
110140,"Whananaki","ivs_iti4_110140","Whananaki","Whananaki",14,"2643239","6631544","1732463","6069758","North",1,"Whangarei",11,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,39,39,"ivs_iti5_110140","Northland RTO"
110180,"Matapouri","ivs_iti4_110180","Matapouri","Matapouri",18,"2646130","6625054","1735369","6063277","North",1,"Whangarei",11,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,38,38,"ivs_iti5_110180","Northland RTO"
